,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2002-08-30,93.00,93.00,92.00,92.00,92.00,92.00,92.00,93.00,93.00,94.00
2002-09-06,93.00,92.00,92.00,92.00,92.00,92.00,93.00,93.00,94.00,94.00
2002-09-13,92.00,92.00,92.00,92.00,92.00,93.00,93.00,94.00,94.00,94.00
2002-09-20,92.00,92.00,92.00,92.00,93.00,93.00,94.00,94.00,94.00,95.00
2002-09-27,92.00,92.00,92.00,93.00,93.00,94.00,94.00,94.00,95.00,95.00
2002-10-04,92.00,92.00,93.00,93.00,94.00,94.00,94.00,95.00,95.00,95.00
2002-10-11,92.00,93.00,93.00,94.00,94.00,94.00,95.00,95.00,95.00,96.00
2002-10-18,93.00,93.00,94.00,94.00,94.00,95.00,95.00,95.00,96.00,97.00
2002-10-25,93.00,94.00,94.00,94.00,95.00,95.00,95.00,96.00,97.00,97.00
2002-11-01,94.00,94.00,94.00,95.00,95.00,95.00,96.00,97.00,97.00,98.00
2002-11-08,94.00,94.00,95.00,95.00,95.00,96.00,97.00,97.00,98.00,98.00
2002-11-15,94.00,95.00,95.00,95.00,96.00,97.00,97.00,98.00,98.00,99.00
2002-11-22,95.00,95.00,95.00,96.00,97.00,97.00,98.00,98.00,99.00,100.00
2002-11-29,95.00,95.00,96.00,97.00,97.00,98.00,98.00,99.00,100.00,102.00
2002-12-06,95.00,96.00,97.00,97.00,98.00,98.00,99.00,100.00,102.00,102.00
2002-12-13,96.00,97.00,97.00,98.00,98.00,99.00,100.00,102.00,102.00,104.00
2002-12-20,97.00,97.00,98.00,98.00,99.00,100.00,102.00,102.00,104.00,105.00
2002-12-27,97.00,98.00,98.00,99.00,100.00,102.00,102.00,104.00,105.00,106.00
2003-01-03,98.00,98.00,99.00,100.00,102.00,102.00,104.00,105.00,106.00,107.00
2003-01-10,98.00,99.00,100.00,102.00,102.00,104.00,105.00,106.00,107.00,109.00
2003-01-17,99.00,100.00,102.00,102.00,104.00,105.00,106.00,107.00,109.00,110.00
2003-01-24,100.00,102.00,102.00,104.00,105.00,106.00,107.00,109.00,110.00,112.00
2003-01-31,102.00,102.00,104.00,105.00,106.00,107.00,109.00,110.00,112.00,112.00
2003-02-07,102.00,104.00,105.00,106.00,107.00,109.00,110.00,112.00,112.00,113.00
2003-02-14,104.00,105.00,106.00,107.00,109.00,110.00,112.00,112.00,113.00,115.00
2003-02-21,105.00,106.00,107.00,109.00,110.00,112.00,112.00,113.00,115.00,116.00
2003-02-28,106.00,107.00,109.00,110.00,112.00,112.00,113.00,115.00,116.00,116.00
2003-03-07,107.00,109.00,110.00,112.00,112.00,113.00,115.00,116.00,116.00,116.00
2003-03-14,109.00,110.00,112.00,112.00,113.00,115.00,116.00,116.00,116.00,115.00
2003-03-21,110.00,112.00,112.00,113.00,115.00,116.00,116.00,116.00,115.00,114.00
2003-03-28,112.00,112.00,113.00,115.00,116.00,116.00,116.00,115.00,114.00,114.00
2003-04-04,112.00,113.00,115.00,116.00,116.00,116.00,115.00,114.00,114.00,113.00
2003-04-11,113.00,115.00,116.00,116.00,116.00,115.00,114.00,114.00,113.00,111.00
